,node,p3_level,p4_level,p1_level,p2_level,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses
4978,MAGUNDEN_2_B1,11.0,7.0,10.0,5.0,88.88848,65.69519,13:45,14:00,72.20716999999999,54.52721999999999,12.44998,8.11445,4.23134,3.0535200000000002,82.81467,56.14653,14:15,14:30,63.57613,48.48055,16.13602,5.6201,3.10252,2.04588
4979,MAGUNDN_7_N003,11.0,6.0,9.0,5.0,88.79346,64.9018,13:45,14:00,72.20716999999999,54.52721999999999,14.93997,9.055019999999999,1.64632,1.31956,79.84449,55.34844,14:15,14:30,63.57613,48.48055,14.46915,5.5977,1.7992,1.27019
4980,MAG_PDS3_LNODE-1,8.0,3.0,4.0,3.0,71.66088,49.50862,13:45,14:00,72.20716999999999,54.52721999999999,8.236139999999999,3.9199800000000002,1.12758,0.69142,54.20326,40.02782,14:15,14:30,63.57613,48.48055,-0.44816,1.16561,0.38529,0.01166
4981,MAINE-PR_6_N001,12.0,7.0,10.0,5.0,93.41963,67.58123,13:45,14:00,72.20716999999999,54.52721999999999,21.73958,13.261220000000002,-0.5271100000000001,-0.2072,84.67945,56.85863,14:15,14:30,63.57613,48.48055,21.09696,8.14538,0.00636,0.23271
4982,MAIN_PGE_LNODEBR1,3.0,3.0,3.0,3.0,30.837,29.447020000000002,13:45,14:00,72.20716999999999,54.52721999999999,-27.35705,-12.42876,-4.10311,-3.02144,28.41909,26.68515,14:15,14:30,63.57613,48.48055,-22.4408,-10.18007,-3.40624,-1.98532
4983,MAIN_PGE_LNODEBR2,3.0,3.0,3.0,3.0,30.837,29.447020000000002,13:45,14:00,72.20716999999999,54.52721999999999,-27.35705,-12.42876,-4.10311,-3.02144,28.41909,26.68515,14:15,14:30,63.57613,48.48055,-22.4408,-10.18007,-3.40624,-1.98532
4984,MAIN_PGE_LNODEBR3,3.0,3.0,3.0,3.0,30.837,29.447020000000002,13:45,14:00,72.20716999999999,54.52721999999999,-27.35705,-12.42876,-4.10311,-3.02144,28.41909,26.68515,14:15,14:30,63.57613,48.48055,-22.4408,-10.18007,-3.40624,-1.98532
4985,MALAD_LNODED1,3.0,3.0,3.0,3.0,46.89119,34.71969,13:45,14:00,72.20716999999999,54.52721999999999,-15.61156,-10.31221,0.20558,0.13469,32.96764,31.87889,14:15,14:30,63.57613,48.48055,-21.35275,-7.25915,0.05427,0.28749
4986,MALAD_LNODED2,3.0,3.0,3.0,3.0,46.89119,34.71969,13:45,14:00,72.20716999999999,54.52721999999999,-15.61156,-10.31221,0.20558,0.13469,32.96764,31.87889,14:15,14:30,63.57613,48.48055,-21.35275,-7.25915,0.05427,0.28749
4987,MALAGA_1_B1,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4988,MALAGA_1_N001,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4989,MALAGA_1_N004,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4990,MALAGA_1_N005,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4991,MALAGA_1_N206,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4992,MALAGA_1_PL1X2-APND,13.0,8.0,11.0,6.0,96.18063000000001,70.61697,13:45,14:00,72.20716999999999,54.52721999999999,17.14266,10.45708,6.8308,5.63266,86.86781,60.70189,14:15,14:30,63.57613,48.48055,16.61619,7.24723,6.67549,4.9741
4993,MALBRG1G_7_B1,11.0,7.0,11.0,5.0,87.40406,65.27316,13:45,14:00,72.20716999999999,54.52721999999999,11.87536,8.36855,3.32153,2.37739,85.99458,56.5073,14:15,14:30,63.57613,48.48055,20.05978,6.45113,2.35867,1.57562
4994,MALBRG2G_7_B1,11.0,7.0,11.0,5.0,87.40406,65.27316,13:45,14:00,72.20716999999999,54.52721999999999,11.87536,8.36855,3.32153,2.37739,85.99458,56.5073,14:15,14:30,63.57613,48.48055,20.05978,6.45113,2.35867,1.57562
4995,MALBRG3G_7_B1,11.0,7.0,11.0,5.0,87.41128,65.27316,13:45,14:00,72.20716999999999,54.52721999999999,11.87536,8.36855,3.32875,2.37739,85.99458,56.5073,14:15,14:30,63.57613,48.48055,20.05978,6.45113,2.35867,1.57562
4996,MALCHA_7_B1,12.0,7.0,10.0,5.0,90.78103,65.51074,13:45,14:00,72.20716999999999,54.52721999999999,22.31419,13.61174,-3.74033,-2.6282099999999997,82.55027,55.03774,14:15,14:30,63.57613,48.48055,21.65706,8.36067,-2.68291,-1.80348
4997,MALINA_LNODE16,,,,,,,,,,,,,,,,,,,,,,,,
4998,MALIN_5_N101,3.0,3.0,3.0,3.0,34.15224,30.674,13:45,14:00,72.20716999999999,54.52721999999999,-32.84879,-20.0963,-5.20614,-3.75693,27.38236,33.30758,14:15,14:30,63.57613,48.48055,-32.11219,-12.30777,-4.08159,-2.8652
4999,MALLORY_LNODE14,3.0,3.0,3.0,3.0,28.10114,23.72172,13:45,14:00,72.20716999999999,54.52721999999999,-29.87875,-18.22567,-4.31728,-2.94983,21.71266,25.49732,14:15,14:30,63.57613,48.48055,-29.21595,-11.19301,-3.33751,-2.16022
5000,MAMOTH1G_7_B1,11.0,7.0,10.0,5.0,89.069,65.80424000000001,13:45,14:00,72.20716999999999,54.52721999999999,12.44998,8.11445,4.41186,3.1625799999999997,82.78288,56.11744,14:15,14:30,63.57613,48.48055,16.13602,5.6201,3.07073,2.01679
5001,MAMOTH2G_7_B1,11.0,7.0,10.0,5.0,89.069,65.80424000000001,13:45,14:00,72.20716999999999,54.52721999999999,12.44998,8.11445,4.41186,3.1625799999999997,82.78288,56.11744,14:15,14:30,63.57613,48.48055,16.13602,5.6201,3.07073,2.01679
5002,MANCHSTR_1_N001,13.0,8.0,11.0,6.0,96.02557,70.55932,13:45,14:00,72.20716999999999,54.52721999999999,17.3342,10.57392,6.4842,5.45817,86.87014,60.3286,14:15,14:30,63.57613,48.48055,16.80289,6.9903,6.49112,4.85775
5003,MANCHSTR_1_N002,13.0,8.0,11.0,6.0,96.02557,70.55932,13:45,14:00,72.20716999999999,54.52721999999999,17.3342,10.57392,6.4842,5.45817,86.87014,60.3286,14:15,14:30,63.57613,48.48055,16.80289,6.9903,6.49112,4.85775
5004,MANCHSTR_1_N005,13.0,8.0,11.0,6.0,96.02557,70.55932,13:45,14:00,72.20716999999999,54.52721999999999,17.3342,10.57392,6.4842,5.45817,86.87014,60.3286,14:15,14:30,63.57613,48.48055,16.80289,6.9903,6.49112,4.85775
5005,MANDLY1G_7_B1,11.0,6.0,10.0,5.0,87.47475,64.83035,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.27924,82.03659,55.56078,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.52229
5006,MANDLY1G_7_N002,11.0,6.0,10.0,5.0,87.47475,64.83035,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.27924,82.03659,55.56078,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.52229
5007,MANDLY2G_7_B1,11.0,6.0,10.0,5.0,87.47475,64.83035,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.27924,82.03659,55.56078,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.52229
5008,MANDLY2G_7_N002,11.0,6.0,10.0,5.0,87.47475,64.83035,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.27924,82.03659,55.56078,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.52229
5009,MANDLY3G_7_B1,11.0,6.0,10.0,5.0,87.47475,64.81945,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.2683299999999997,82.03659,55.55108,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.51259
5010,MANDLY3G_7_N001,11.0,6.0,10.0,5.0,87.47475,64.81945,13:45,14:00,72.20716999999999,54.52721999999999,12.16267,8.0239,3.10491,2.2683299999999997,82.03659,55.55108,14:15,14:30,63.57613,48.48055,16.05092,5.55794,2.40954,1.51259
5011,MANILA_LNODELD,3.0,3.0,3.0,3.0,49.79672,35.977140000000006,13:45,14:00,72.20716999999999,54.52721999999999,-10.63157,-7.53728,-1.8688799999999999,-1.3828,33.94586,32.0903,14:15,14:30,63.57613,48.48055,-18.44809,-5.8123,-1.87218,-0.94795
5012,MANSFACE_LNODE32,3.0,3.0,3.0,3.0,42.46102,31.29744,13:45,14:00,72.20716999999999,54.52721999999999,-14.36656,-9.657910000000001,-5.46959,-3.9418699999999998,28.919,28.86201,14:15,14:30,63.57613,48.48055,-20.91901,-6.93877,-4.42812,-3.04977
5013,MANSFACE_LNODEPP,3.0,3.0,3.0,3.0,42.46102,31.29744,13:45,14:00,72.20716999999999,54.52721999999999,-14.36656,-9.657910000000001,-5.46959,-3.9418699999999998,28.919,28.86201,14:15,14:30,63.57613,48.48055,-20.91901,-6.93877,-4.42812,-3.04977
