,node,p3_level,p4_level,p1_level,p2_level,RTPD1_lmp,RTPD2_lmp,RTPD1_int_end,RTPD2_int_end,RTPD1_energy,RTPD2_energy,RTPD1_congestion,RTPD2_congestion,RTPD1_losses,RTPD2_losses,RTPD3_lmp,RTPD4_lmp,RTPD3_int_end,RTPD4_int_end,RTPD3_energy,RTPD4_energy,RTPD3_congestion,RTPD4_congestion,RTPD3_losses,RTPD4_losses
2883,ETGT_LNODE132,3.0,3.0,3.0,3.0,27.77845,29.73341,14:15,14:30,37.58631,45.08222,-0.0024,-0.0024,0.019430000000000003,0.12435999999999998,31.84068,35.88444,14:45,15:00,48.06097,47.03675,-0.0024,-0.0024,0.15211,0.15008
2884,ETIWANDA_2_LN001,3.0,3.0,3.0,3.0,36.95862,44.18057,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.62769,-0.90164,47.10937,46.14776,14:45,15:00,48.06097,47.03675,0,0,-0.95161,-0.88899
2885,ETIWANDA_2_N001,3.0,3.0,3.0,3.0,36.95862,44.18057,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.62769,-0.90164,47.10937,46.14776,14:45,15:00,48.06097,47.03675,0,0,-0.95161,-0.88899
2886,ETIWANDA_2_N006,3.0,3.0,3.0,3.0,36.95862,44.18057,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.62769,-0.90164,47.10937,46.14776,14:45,15:00,48.06097,47.03675,0,0,-0.95161,-0.88899
2887,ETIWANDA_2_N108,3.0,3.0,3.0,3.0,36.95862,44.18057,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.62769,-0.90164,47.10937,46.14776,14:45,15:00,48.06097,47.03675,0,0,-0.95161,-0.88899
2888,ETIWANDA_2_N109,3.0,3.0,3.0,3.0,36.95862,44.18057,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.62769,-0.90164,47.10937,46.14776,14:45,15:00,48.06097,47.03675,0,0,-0.95161,-0.88899
2889,ETIWANDA_6_GN001,3.0,3.0,3.0,3.0,37.00748,44.23918,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5788300000000001,-0.84304,47.17665,46.17128,14:45,15:00,48.06097,47.03675,0,0,-0.88432,-0.86548
2890,ETIWANDA_6_GN002,3.0,3.0,3.0,3.0,37.00748,44.23918,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5788300000000001,-0.84304,47.17665,46.17128,14:45,15:00,48.06097,47.03675,0,0,-0.88432,-0.86548
2891,ETIWANDA_6_GN003,3.0,3.0,3.0,3.0,37.00748,44.23918,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5788300000000001,-0.84304,47.17665,46.17128,14:45,15:00,48.06097,47.03675,0,0,-0.88432,-0.86548
2892,ETIWANDA_6_N001,3.0,3.0,3.0,3.0,37.00748,44.23918,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5788300000000001,-0.84304,47.17665,46.17128,14:45,15:00,48.06097,47.03675,0,0,-0.88432,-0.86548
2893,ETIWANDA_6_N003,3.0,3.0,3.0,3.0,36.988690000000005,44.216640000000005,14:15,14:30,37.58631,45.08222,0.0,0.0,-0.5976199999999999,-0.8655799999999999,47.15262,46.17598,14:45,15:00,48.06097,47.03675,0,0,-0.90835,-0.86077
