node_ba,node_type,node_name,latitude,longitude,geometry
PACW,LOAD,MARYSRIV_LNODE69,44.55056,-123.26528,POINT (-123.26528 44.55056)
PACE,LOAD,MATHINGT_LNODED1,39.58186,-110.72897,POINT (-110.72897 39.58186)
IPCO,GEN,MAWP_GNODEAWP,43.0667,-115.3875,POINT (-115.3875 43.0667)
PGE,LOAD,MAXM_LNODEXIM,45.54173303,-122.6953305,POINT (-122.6953304655968 45.54173303110645)
NV,LOAD,MAYFAIR_LNODE-1,36.15984478,-115.1338607,POINT (-115.1338607081129 36.1598447811791)
NV,LOAD,MAYFAIR_LNODE-2,36.15966572,-115.1338607,POINT (-115.1338607083662 36.15966571871864)
NV,LOAD,MAYFAIR_LNODE-3,36.15966572,-115.1340825,POINT (-115.1340824916338 36.15966571871864)
NV,LOAD,MAYFAIR_LNODE-4,36.15984478,-115.1340825,POINT (-115.1340824918871 36.1598447811791)
APS,LOAD,MA_LNODE10A,32.66102662,-114.5801768,POINT (-114.5801767719484 32.66102662283414)
APS,LOAD,MA_LNODE12A,32.66094901,-114.5801235,POINT (-114.5801235439894 32.66094900695516)
APS,LOAD,MA_LNODE14A,32.66087139,-114.5801768,POINT (-114.5801767720409 32.66087139114379)
APS,LOAD,MA_LNODER2A,32.66087139,-114.5802832,POINT (-114.5802832279591 32.66087139114379)
APS,LOAD,MA_LNODER4A,32.66094901,-114.5803365,POINT (-114.5803364560106 32.66094900695516)
APS,LOAD,MA_LNODER6A,32.66102662,-114.5802832,POINT (-114.5802832280516 32.66102662283414)
IPCO,LOAD,MCAL_LNODE131,44.9126749,-116.1246888,POINT (-116.1246887604621 44.91267489998251)
IPCO,LOAD,MCAL_LNODE33A,44.9126749,-116.1248156,POINT (-116.1248156395379 44.91267489998251)
CA,LOAD,MCARTHR_6_N001,41.05270157,-121.4087808,POINT (-121.4087807932033 41.05270156724072)
CA,GEN,MCARTHR_6_N002,41.05270157,-121.4089007,POINT (-121.4089006659746 41.05270156724072)
CA,GEN,MCARTHR_6_N003,41.03,-121.4259401,POINT (-121.4259400789482 41.0299999999845)
PSE,LOAD,MCA_LNODEXF1,47.02638889,-122.7244444,POINT (-122.7244444 47.02638889)
CA,LOAD,MCCALL_1_N026,36.61141742,-119.6396966,POINT (-119.639696637215 36.61141742473338)
CA,LOAD,MCCALL_1_N030,36.61133667,-119.6396386,POINT (-119.6396385546713 36.61133667161215)
CA,GEN,MCCALL_1_N093,36.61133667,-119.6397547,POINT (-119.6397547197587 36.61133667161215)
PACE,LOAD,MCCLELLA_LNODE-4,40.75056,-111.86167,POINT (-111.86167 40.75056)
PGE,LOAD,MCCL_LNODEBR1,44.95609709,-123.031364,POINT (-123.031364 44.95609708994013)
PGE,LOAD,MCCL_LNODEBR2,44.95601626,-123.031298,POINT (-123.0312980491806 44.95601625501096)
PGE,LOAD,MCCL_LNODEBR3,44.95601626,-123.03143,POINT (-123.0314299508194 44.95601625501096)
CA,LOAD,MCDISLE_6_N001,37.93693307,-121.5283294,POINT (-121.528329372749 37.9369330659374)
NV,LOAD,MCDONLD_LNODE-3,36.09087367,-115.2126769,POINT (-115.2126769025198 36.0908736699873)
NV,LOAD,MCDONLD_LNODE-4,36.09087367,-115.2127877,POINT (-115.2127876974802 36.0908736699873)
PACE,LOAD,MCDONNEL_LNODEPM,40.79722,-111.95361,POINT (-111.95361 40.79722)
PACE,LOAD,MCFADDEN_LNODET1,39.33456,-110.99072,POINT (-110.99072 39.33456)
CA,LOAD,MCFRLND_6_N001,35.68844448,-119.2768352,POINT (-119.276835213609 35.688444479876)
NV,GEN,MCG HILL_GNODE 1,39.59133167,-116.9128236,POINT (-116.9128236 39.59133167)
CA,GEN,MCGEN_7_B1,35.765833,-117.381389,POINT (-117.381389 35.765833)
PGE,LOAD,MCGL_LNODEWR1,45.51914,-122.4231161,POINT (-122.4231161102543 45.51913999998224)
PGE,LOAD,MCGL_LNODEWR2,45.51914,-122.4232439,POINT (-122.4232438897457 45.51913999998224)
NV,LOAD,MCHLWAY_LNODE-1,36.18508915,-115.2156091,POINT (-115.2156091 36.18508914994681)
NV,LOAD,MCHLWAY_LNODE-2,36.18500857,-115.2155515,POINT (-115.2155514590824 36.18500857001281)
NV,LOAD,MCHLWAY_LNODE-3,36.18500857,-115.2156667,POINT (-115.2156667409176 36.18500857001281)
CA,LOAD,MCKEE_1_N001,37.36640692,-121.8437889,POINT (-121.843788899062 37.36640692180158)
CA,LOAD,MCKEE_1_N005,37.36632562,-121.8437298,POINT (-121.8437298354419 37.36632561572048)
CA,LOAD,MCKEE_1_N101,37.36632562,-121.843848,POINT (-121.8438479626821 37.36632561572048)
PSE,LOAD,MCK_LNODEXF1,48.71972222,-122.5013889,POINT (-122.5013889 48.71972222)
CA,LOAD,MCMULLN1_2_N001,36.5927755,-119.9890646,POINT (-119.989064620668 36.592775499087)
APS,LOAD,MCM_LNODE10A,33.69407801,-112.424159,POINT (-112.424159 33.69407800699999)
APS,LOAD,MCM_LNODE12A,33.69407801,-112.4240509,POINT (-112.4240509332124 33.69407800695295)
APS,LOAD,MCM_LNODE13A,33.69400014,-112.424105,POINT (-112.4241049666552 33.69400014021386)
APS,LOAD,MCM_LNODER1A,33.69400014,-112.424213,POINT (-112.4242130333449 33.69400014021386)
APS,LOAD,MCM_LNODER2A,33.69407801,-112.4242671,POINT (-112.4242670667876 33.69407800695295)
APS,LOAD,MCM_LNODER4A,33.69415587,-112.424213,POINT (-112.4242130334428 33.6941558737627)
APS,LOAD,MCM_LNODER9A,33.69415587,-112.424105,POINT (-112.4241049665572 33.6941558737627)
PGE,LOAD,MCRK_LNODEWR1,44.8827362,-122.979958,POINT (-122.979958 44.8827362)
IPCO,LOAD,MCRN_LNODE131,43.52762466,-116.1445095,POINT (-116.1445095082516 43.52762466172881)
IPCO,LOAD,MCRN_LNODE132,43.52744414,-116.1445095,POINT (-116.1445095086241 43.52744413813606)
